obscd_cd,year_de,river_hd,addr_tp,type_ve,hi_tp,len_tp,rsqty_tp,area_num
8000090,0301,49.6,7.1,1.4,-3.1,12.4,1.1,10.2
8000100,0301,68.5,0.5,1.2,-5.4,7.9,-6.1,10.4
8000101,0301,58,4.1,0.9,-4.9,14.3,-3.5,9.9
8000102,0301,84.5,3.8,3.4,1.2,10.3,0.8,7.2
8000104,0301,46.6,6.7,1.1,-4.4,11.8,1.5,10.2
8000105,0301,43.8,7.3,2.2,-4.8,13,2.6,10.1
8000106,0301,55.3,6.2,1.7,-2.7,11.5,1.4,10
8000108,0301,42.3,6.6,2.1,-5.9,13,1.2,9.9
8000112,0301,64.9,5.5,2.2,-0.8,10.3,2,10
8000114,0301,49.8,5.7,0.9,-5.5,12.8,-0.8,9.9
8000115,0301,65.1,6.8,1.2,0.6,10.5,3.9,8.1
8000119,0301,68.6,4.8,1.6,-1.5,13.9,-1.5,9.6
8000121,0301,56.6,4.7,0.8,-4.9,13,-2.5,9.3
8000127,0301,57.4,4.3,1,-4.7,12.8,-3.1,9.7
8000129,0301,73.6,3.3,1.2,-2,13.3,-4.1,8.6
8000130,0301,61,6,2,-1.7,12.3,0.6,9.5
8000131,0301,52.9,6.2,1.1,-4,13.6,-1.4,8
8000133,0301,59.5,6.1,1.1,-2.5,13.7,0,8.5
8000135,0301,45.9,5.7,3.1,-6,12.1,0.3,10.2
8000136,0301,55,5.3,1.1,-4.5,13.7,-1.9,10
8000137,0301,45.8,7.5,1.6,-4.4,14.9,2.5,9.6
8000138,0301,61.9,8.8,2,1.4,13.3,3.3,9.7
8000140,0301,89.5,4.1,1.7,2.1,11.6,-0.5,7.3
8000143,0301,43.3,8.4,1.7,-4.9,15.3,2.2,9.9
8000146,0301,75.1,5.6,1.5,0.4,13.3,1.9,8.6
8000152,0301,56.3,8.7,1.9,-0.7,14.8,4.3,9.6
8000155,0301,45.8,8.8,1.3,-3.6,14.8,4.6,9.1
8000156,0301,56.3,6.7,1.2,-2.8,14.3,1,9.1
8000159,0301,47.9,10.6,2,-0.9,16.1,7,9.7
8000162,0301,57.9,9.7,1.9,0.8,16,4.9,8.7
8000165,0301,76,6,4.3,1.1,11.6,2.9,8.2
8000168,0301,49.4,9.3,3,-1.3,14.9,5.7,8.6
8000169,0301,75.4,7,4.6,2.9,10.6,4.8,8.3
8000170,0301,52.1,8.2,2,-1.7,14.2,3.6,8.2
8000172,0301,76.5,4.8,2.2,-0.2,13,-0.5,8.8
8000174,0301,53,6.8,2.3,-3.4,14.5,-1.3,9.3
8000175,0301,62.8,4.1,5.9,-3.3,11.4,0.2,8.5
8000177,0301,74.6,4.2,1.2,-0.8,13.1,-2.5,9.8
8000184,0301,59.3,9.4,2.1,1.5,12.3,6.4,7.4
8000185,0301,62.4,8.6,6.3,1.7,10.1,6.2,7.5
8000188,0301,53.6,8.9,3.8,-0.4,12.9,5.9,6.6
8000189,0301,58.5,11.4,1.6,3.1,14.6,7.5,7.2
8000192,0301,58.8,6.7,0.7,-2.6,15.4,-1.4,9.5
8000201,0301,53.4,4.6,2,-4.4,11.3,-2.4,10.1
8000202,0301,52.9,5.3,1.4,-5.3,13.8,-2.7,9.7
8000203,0301,50.5,5.3,1.4,-5.7,14.7,-4,9.6
8000211,0301,59.5,3,1,-5.7,12.6,-4.5,8.5
8000212,0301,55.5,4.4,0.9,-5.2,14,-2.9,9.8
8000216,0301,56.1,2.2,1,-7.3,10.5,-4.1,8.4
8000217,0301,57.6,3.2,1,-5.7,13,-3.2,7.4
8000221,0301,58.1,3.5,1.3,-5.7,13.1,-5.1,9.8
8000226,0301,59.1,3.8,1.1,-5.3,13.3,-4.2,9.7
8000232,0301,49.3,4.2,1.3,-7.9,12.8,-3.6,9
8000235,0301,79.8,3.1,1.2,-0.3,9.9,-1.9,8.3
8000236,0301,74.1,4.4,1,-0.8,13.9,-1.2,6.7
8000238,0301,60.6,3.9,1,-4.7,13.1,-3.9,9.3
8000243,0301,79.3,4.1,1.6,0.2,13.1,-1.4,7.7
8000244,0301,66.4,3.4,1.2,-4,13.4,-3.5,7.8
8000245,0301,76.4,4,1.3,-1.1,12.5,-2.6,8.4
8000247,0301,53.5,5.3,1.5,-5.2,14.3,-2.6,9
8000248,0301,62.1,2.6,1.4,-5.6,12.4,-4.8,9.3
8000251,0301,68.8,4.8,1.4,-1.8,12.5,0.2,8.8
8000252,0301,73.8,4.7,1.3,-0.8,12,0.5,8.8
8000253,0301,52.3,10.1,2.1,-0.7,16.4,5.6,9.1
8000254,0301,58.9,4.6,1.4,-4.5,13.5,-3.4,9.3
8000255,0301,50.3,9.1,1,-2.1,15.4,3.8,8.9
8000257,0301,57.4,9.6,1.6,0.2,16.8,3.4,9.2
8000258,0301,47.3,8.1,4,-3.2,15.3,2.3,8.6
8000259,0301,55.9,6.9,2.6,-2.4,14,1.1,8.5
8000260,0301,55.8,6.8,1.8,-2.9,14.4,-0.4,8.5
8000261,0301,67.5,5.5,2.7,-1.1,12.4,0.2,8.2
8000262,0301,52.9,6.9,1.2,-3.5,14.5,-0.2,8.5
8000263,0301,55.3,6.7,0.9,-3.6,16.1,-1.5,9.2
8000264,0301,64.1,5.1,0.9,-3.1,15.6,-3.4,9.5
8000266,0301,33.9,9.6,1.1,-6.6,16.1,4.5,9.1
8000268,0301,71,6.5,2.6,0.9,11.5,2.1,8.1
8000271,0301,56.9,2.9,1.4,-6.5,13.1,-4.5,9
8000272,0301,49.5,5.1,2.3,-5.8,12.5,-2.5,9.8
8000273,0301,42.6,7.2,2.2,-5.4,14.4,0.4,10
8000276,0301,67.5,4.1,0.8,-3.3,13.9,-2.7,8.7
8000277,0301,64,7.1,2.3,0,14,1.5,9.1
8000278,0301,52.4,4.2,1,-6.8,15.6,-4.1,9.7
8000279,0301,45,8.2,1.3,-4.2,14.6,1.9,9.3
8000281,0301,57.3,6.1,1.1,-4.4,15.8,-2.6,10
8000283,0301,67.9,6.5,2.1,-0.8,15.5,-0.6,9.7
8000284,0301,54.9,5.3,0.8,-4.9,14.9,-3.2,9.2
8000285,0301,61,6,0.7,-3.2,16.4,-1.9,9.7
8000288,0301,53.6,7.3,0.7,-4.4,16.1,-0.5,9.6
8000289,0301,53.9,6.2,1,-4.6,15.8,-1.9,8.9
8000294,0301,58.9,9.6,1.2,0.3,15.7,4.8,9.2
8000295,0301,47.9,8.6,1,-3,15.2,3.5,8.7
800093,0301,56.4,3.6,0.9,-6.1,13.5,-4.1,10.1
800095,0301,62.5,3.3,0.7,-4.7,12.5,-5.2,9.6
800098,0301,55.4,4.8,1.3,-4.5,13.8,-2.5,10
800099,0301,66.8,2.8,0.9,-3.9,12.6,-5,9.9
8000090,0302,50.8,7.5,1.4,-2.4,12.9,2.2,9.4
8000100,0302,73.6,0,0.9,-5.3,9.7,-7.7,9.6
8000101,0302,54.1,5,0.8,-5.2,15.1,-3.1,9
8000102,0302,64.4,5.5,2.1,-1.7,10.8,2.2,8.7
8000104,0302,46.5,7.9,1.2,-3.3,12.9,2.2,8.5
8000105,0302,44.1,8.5,2.5,-3.5,14.4,2.8,8.3
8000106,0302,55.9,7.5,1.9,-1,12.8,1.6,7.9
8000108,0302,37.6,7.8,1.1,-6.6,14.7,1.3,7.5
8000112,0302,57.4,6.7,2,-1.9,11.6,1.9,6.6
8000114,0302,45.8,6.5,0.6,-5.9,14.3,-1,7.6
8000115,0302,58.6,8,1.7,0.2,12.7,4.8,9.3
8000119,0302,61.9,6.1,0.9,-2.1,14.6,-1.9,6.2
8000121,0302,51.5,5.6,0.5,-5.5,15.8,-3,7.5
8000127,0302,55.9,5.2,0.8,-4.2,14.6,-3.5,7.7
8000129,0302,60,5.7,1.4,-2.8,13.8,-2.5,6.1
8000130,0302,63.8,7.1,2.3,0.3,12.7,0.2,8.2
8000131,0302,44,7.7,0.7,-4.9,15.3,-0.4,7.4
8000133,0302,51.5,7.4,1,-3.1,16,-0.9,7.3
8000135,0302,49.8,5.2,1.3,-5.4,13.5,-3.6,8.2
8000136,0302,59.8,6.2,1.1,-2.2,14.8,-3,7.6
8000137,0302,55.9,5.9,0.8,-3.1,14.7,-2.6,7.7
8000138,0302,66.3,8.9,2.2,2.7,12.8,3.8,6.9
8000140,0302,73.9,6.4,1.2,1.3,14.7,-2.2,6.6
8000143,0302,57.9,8,1.7,-0.5,15,0.4,8.1
8000146,0302,59.5,8.2,1.1,-0.5,17.2,-1.4,8.3
8000152,0302,62,8.9,1.7,1.7,13.5,3.1,8.6
8000155,0302,53.4,9,1.5,0,14.1,3.7,6.8
8000156,0302,52,9.6,1.4,-0.1,17.1,2.1,6.9
8000159,0302,54.5,10.7,2.4,1.7,15.5,7.1,5.6
8000162,0302,58,10.3,2.3,2.3,14.9,5.7,2.8
8000165,0302,66.4,7.9,1.6,1.6,14.6,2.4,1.6
8000168,0302,54.9,10.3,4.2,1.5,13,7.9,2.5
8000169,0302,73,6.7,3,2,9.5,3.9,0.4
8000170,0302,61.5,9.4,2.3,2.2,13.4,4.7,0
8000172,0302,69.9,7.2,1.2,1.2,16.2,-2.9,7.6
8000174,0302,66.3,7,1.3,0.5,14.9,-2.2,5.6
8000175,0302,58.6,6.8,5.6,-0.9,10.8,2.5,0.1
8000177,0302,70.5,4.2,0.7,-1.7,14.2,-4,6.6
8000184,0302,66.9,11,2.1,5,14.3,7.3,0
8000185,0302,73.9,10,3.1,5.3,12.8,7.8,0
8000188,0302,64,10.9,2.7,4.2,14.2,5.6,0
8000189,0302,69.9,11.3,1.7,5.6,14,9.6,0
8000192,0302,63.4,7.6,0.7,0.5,15.6,-1,8.8
8000201,0302,47.3,5.6,1.3,-5.6,13.6,-2.6,8.9
8000202,0302,50.3,5.6,0.8,-6,14.2,-2.6,6.9
8000203,0302,50.6,5.3,0.8,-5.8,14,-3.3,7
8000211,0302,55.5,3.7,0.9,-6.3,14.4,-4.4,8.4
8000212,0302,51.1,4.9,0.8,-6.1,14.9,-3.4,8
8000216,0302,63,2.5,0.8,-5.2,11.4,-5.6,7.8
8000217,0302,53.9,4.3,1.2,-5.8,14.1,-3.9,8
8000221,0302,56.1,3.7,0.8,-6,14.4,-5.2,7.3
8000226,0302,57.1,4.9,0.8,-4.5,15.8,-4.8,7.3
8000232,0302,47.3,5.2,0.8,-7.9,14.8,-3.9,6.3
8000235,0302,59.6,5.4,1,-2.7,14.3,-4.4,6.6
8000236,0302,58.4,5.7,0.8,-3.5,15.2,-3.7,6.6
8000238,0302,53.4,5.4,0.8,-5.2,15.5,-4.8,7.5
8000243,0302,69,6.6,1.2,0.5,16.3,-0.4,6.2
8000244,0302,52.4,6.3,0.7,-5,16.4,-3.8,8.2
8000245,0302,73.1,6.1,1.1,0.8,15.9,-3.7,7.1
8000247,0302,51.6,7.4,1.2,-3.2,16.4,-2.6,9
8000248,0302,57.6,5.3,0.7,-4,14.9,-4.6,8.8
8000251,0302,63,7,1.2,-0.2,15.5,-1.8,8.1
8000252,0302,64.4,6.8,0.9,-0.2,15.1,-2.5,8.3
8000253,0302,59.8,9.8,2.1,2,15.4,3.8,6.1
8000254,0302,56.9,7.5,0.8,-1.6,16.6,-2.6,8.6
8000255,0302,55.4,9.3,1.3,0.6,14.5,2.7,5.7
8000257,0302,61.8,9.6,2.1,2.2,16.2,2.4,6.2
8000258,0302,64.8,7.8,2.4,1.3,14.1,0.8,1.4
8000259,0302,57.8,8.8,1.8,0.5,14.4,1.7,0.9
8000260,0302,63.1,8.5,1.5,1.4,14.5,0,0.7
8000261,0302,66.1,7.6,1.9,1.1,14.1,-0.7,0.4
8000262,0302,59.6,8.7,1.2,0.9,13.3,0.8,0.4
8000263,0302,61,7.6,0.7,-0.1,15.5,-1.5,8.3
8000264,0302,66.5,6.5,0.6,-0.4,15.4,-3.5,9.1
8000266,0302,43.1,10.6,2.2,-1.7,14.8,6.2,4.7
8000268,0302,59.3,9.4,2,1.6,13.7,3.4,0.3
8000271,0302,56.5,4,1,-5.6,14.2,-5.2,8.3
8000272,0302,54,5,1.9,-4.6,13.5,-3.9,8.2
8000273,0302,54.5,5.7,1.6,-3.6,13.7,-3.1,7.7
8000276,0302,69.5,4.9,1.1,-1.3,14.8,-2.7,5.2
8000277,0302,69.1,6.9,2.1,1.1,14,0.7,7.6
8000278,0302,51.3,5.8,0.8,-5.1,17.1,-5.1,7.8
8000279,0302,55.4,7.5,0.6,-2.1,15.3,-1.1,7.6
8000281,0302,60.9,6.7,1.2,-1.4,15.2,-2.5,7.8
8000283,0302,70.5,6.5,1.5,0.8,14.9,-1.2,7.1
8000284,0302,57.1,6.1,0.8,-2.7,14.5,-3.4,7.7
8000285,0302,59,6.9,0.8,-1.7,15.8,-2.4,9.2
8000288,0302,53.4,7.8,0.9,-1.9,16,-1.3,8.5
8000289,0302,57.4,7,1,-1.9,15.5,-2.5,8
8000294,0302,65.1,10,1.5,3.4,14.6,3.7,4.2
8000295,0302,54.3,9.5,1.2,0.5,14.2,5,3.2
800093,0302,53.3,4.1,0.5,-6.7,14.8,-4.5,9.5
800095,0302,58.8,3.9,0.6,-5.7,13.9,-4.6,9.8
800098,0302,51.9,5.6,1,-5.1,15.3,-3,9.5
800099,0302,58.8,4.5,0.9,-4.6,13.8,-4.5,9.6
8000090,0303,58.9,8.2,1.4,0.5,14.4,1.9,9.2
8000100,0303,70.6,1.6,0.9,-4.2,9.7,-6.2,8.2
8000101,0303,51.5,6,0.9,-5.1,16.7,-2.8,8.8
8000102,0303,66.9,6.3,2.4,0.4,10.9,3.6,4.5
8000104,0303,48.3,9.1,1.1,-2,13.3,2.8,8.2
8000105,0303,48.3,9.7,2.1,-1.1,15,5,7.7
8000106,0303,61.4,8.7,1.7,1.6,13.7,3.4,7.5
8000108,0303,36.4,9.4,1.5,-5.6,16.1,2.5,7.9
8000112,0303,49,7.9,2.5,-2.7,13.5,3,7.7
8000114,0303,40.1,7.9,0.5,-6.5,14.5,0,6.4
8000115,0303,59.8,8.3,2.2,0.8,12.1,5.3,8.6
8000119,0303,55.6,8.1,1,-1.8,16.6,-1.2,8
8000121,0303,47.8,7.3,0.6,-5,15.9,-1.8,6.3
8000127,0303,51.4,6.6,0.7,-4,14.6,-2.1,6.8
8000129,0303,47.9,7.8,1.5,-3.8,16.3,-1,6
8000130,0303,66.8,8.7,2.2,2.6,13.3,2.8,8.1
8000131,0303,42.5,9.2,0.8,-3.6,15.5,1.2,7.4
8000133,0303,50.8,9,0.9,-1.3,15.5,1.4,5.6
8000135,0303,51.8,7.3,1,-3,13.5,-1,7.3
8000136,0303,59.1,8,1.2,-0.4,14.9,-1.2,8.3
8000137,0303,59.3,7.6,0.7,-0.9,15,-0.9,7.5
8000138,0303,63.4,10.3,2.1,3.4,13.4,6.4,6.8
8000140,0303,66.5,7.9,0.9,1.7,13.8,2.5,4.4
8000143,0303,53,10,2.1,0.2,15.2,4.4,4.5
8000146,0303,56,9.5,1.3,0.8,15.3,4.3,3.1
8000152,0303,57.1,10.5,2.3,2.2,13.8,7,4.4
8000155,0303,55.1,10.5,1.1,1.6,14.5,7.2,3.2
8000156,0303,54.9,11.2,0.9,2.2,14.4,7.9,0.9
8000159,0303,52.8,11.5,2.8,2,15.4,9.5,2.1
8000162,0303,61.3,11.2,2.5,3.9,15.1,9,2
8000165,0303,70.3,8.6,2,3.2,12.1,6.5,0.2
8000168,0303,58.6,11.2,3.3,3.2,13.4,9.5,1.3
8000169,0303,69.4,7.6,3.1,2.2,9.5,6.4,0
8000170,0303,66.9,10.7,1.2,4.6,14.5,8.2,0.1
8000172,0303,65.3,8.4,1.4,1.9,14.4,0,0.4
8000174,0303,60,9.4,1,0.9,14.3,4.8,0.6
8000175,0303,70,7,2.9,1.6,11.3,4,0
8000177,0303,59.8,6.4,0.8,-1.9,15.3,-2.8,6.1
8000184,0303,73.4,11.8,3,7,13.3,10.5,0
8000185,0303,78.8,11.1,3.6,7.3,14.1,9.3,0
8000188,0303,73.3,11.5,2.9,6.8,13.5,9.6,0
